Reservoir_ID,Operational_status_as_of_July_2025,Depth_m_tvdss,Initial_pressure_bar,Temperature_C,Net_thickness_m,NTG_fraction,Porosity_fraction,Permeability_mD,OGIP_sm3,Recoverable_gas_sm3,Trap_type,Biochemical_risk_class,Gas_storage_wells,Gas_production_wells,Abandoned_phase_1_wells,Abandoned_phase_2_wells,Abandoned_phase_3_wells,Permanently_plugged_wells
R01,Out of operation,"2,682.00",282,87,18.63,0.69,0.18,500,"29,987,000,000.00","23,909,348,441.93",Faulted anticline,Medium risk,0,0,0,1,33,0
R02,Operational,"3,123.00",328,104,66.3,0.78,0.13,1,"9,320,100,000.00","5,240,000,000.00",Dip and fault closure,Low risk,0,5,3,0,0,0
R03,Out of operation,"2,560.00",275,90,66,0.97,0.17,30,"1,133,144,475.92","906,515,580.74",Tilted fault block,Low risk,0,0,0,1,0,0
R04,Out of operation,"2,575.00",277,90,73.72,0.97,0.17,30,"3,682,719,546.74","2,832,861,189.80",Tilted fault block,Low risk,0,0,0,3,3,0
R05,Out of operation,"1,680.00",182,150,97,0.99,0.19,250,"8,385,269,121.81","5,198,866,855.52",Faulted and dip closed ,No risk,0,0,0,0,7,0
R06,Out of operation,"3,805.00",447,115,64.01,0.37,0.1,73,"5,835,694,050.99","4,022,662,889.52",Tilted fault block,Low risk,0,0,0,4,7,0
R07,Out of operation,"1,325.00",143,54,75,0.98,0.21,100,"4,419,263,456.09","3,286,118,980.17",4-way dip closure,High risk,0,0,0,0,4,0
R08,Out of operation,"3,545.00",426,112,24,0.75,0.11,5,"6,515,580,736.54","5,269,121,813.03",Inverted fault block,Low risk,0,0,0,0,6,0
R09,Operational,"2,735.00",345,95,45.45,0.3,0.11,3,"15,864,022,662.89","12,691,218,130.31",Fault and dip closure,Low risk,0,7,0,4,1,0
R10,Out of operation,"3,520.00",421,99,76.5,0.17,0.08,7.72,"8,810,198,300.28","8,630,000,000.00",Dip and fault closed anticline,Low risk,0,0,0,0,5,0
R11,Operational,"3,185.00",391,110,44,0.25,0.1,1.5,"19,461,756,373.94","15,569,405,099.15",Domal horst structure,Low risk,0,4,6,3,0,1
R12,Operational,"2,438.00",281,85,67,1,0.2,400,"6,685,552,407.93","5,977,337,110.48",Faulted pop up,Medium risk,0,2,3,0,0,0
R13,Operational,"3,333.00",396,107,87.5,0.89,0.14,"1,875.00","28,130,300,000.00","21,090,000,000.00",Structrtal,Low risk,0,12,1,4,0,0
R14,Out of operation,"1,723.00",162,148,43,0.99,0.2,170,"594,900,849.86","452,124,645.89",Faulted and dip closed ,No risk,0,0,0,1,0,0
R15,Operational,"1,684.00",190,145,172,0.98,0.14,75,"12,464,589,235.13","11,467,422,096.32",Faulted and dip closed ,No risk,0,2,0,1,2,0
R16,Operational,"1,837.00",195,151,78,0.96,0.15,2,"878,186,968.84","851,841,359.77",Faulted and dip closed ,No risk,0,1,0,0,0,0
R17,Operational,"1,767.00",193,143,105,0.99,0.13,50,"3,144,475,920.68","2,578,470,254.96",Faulted and dip closed ,No risk,0,1,0,0,0,0
R18,Out of operation,"2,575.00",275,80,121.5,0.5,0.1,0.1,"14,164,305,949.01","11,331,444,759.21",Three-way dip fault closure,Medium risk,0,0,0,1,5,0
R19,Out of operation,"2,621.00",283,80,56.5,1,0.18,100,"8,186,968,838.53","5,552,407,932.01",Tilted horst block,Medium risk,0,0,0,1,2,0
R20,Operational,"3,276.00",386,110,34.56,0.72,0.1,50,"11,416,430,594.90","9,133,144,475.92",Faulted 4-way dip closure,Low risk,0,4,2,4,1,0
R21,Out of operation,"2,484.00",275,92,83.16,0.99,0.14,20,"2,832,861,189.80","2,549,575,070.82",Fault bounded horst structure and dip closure,Low risk,0,0,0,0,5,0
R22,Out of operation,813,94,108,106,0.96,0.21,500,"38,413,597,733.71","34,180,000,000.00",4-way dip closed anticline with faulted margins,No risk,0,0,0,2,5,0
