Reservoir_ID,Methane density at reservoir conditions [kg/m3],Hydrogen density at reservoir conditions [kg/m3],Maximum_theoretical_wellbore_level_injectivity_t_per_month,Maximum_deployable_field_scale_injectivity_P50_t_per_month,Maximum_theoretical_wellbore_level_deliverability_t_per_month,Deployable_field-scale_seasonal_working_capacity_P50_t_H2,Cushion_gas_P50_t_H2,Cushion_to_working_ratio_P50
R01,154.56,16.51,"346,113.82","692,227.64","337,500.00","838,887.51","838,887.51",1
R02,163.4,18.06,"3,006.85","15,034.27","3,024.00","44,332.13","336,057.92",7.58
R03,149.67,16.04,"69,539.97", NA ,"69,660.00", NA , NA , NA 
R04,150.56,16.14,"78,677.60","78,677.60","76,410.00","99,723.99","99,723.99",1
R05,83.71,9.63,"317,221.05", NA ,"288,900.00", NA , NA , NA 
R06,195.9,22.82,"344,513.80","689,027.61","334,800.00","153,925.37","153,925.37",1
R07,95.47,9.8,"93,230.70", NA ,"90,720.00", NA , NA , NA 
R08,191.56,22.08,"8,222.99", NA ,"8,424.00", NA , NA , NA 
R09,175.02,19.25,"6,921.65","48,451.55","6,939.00","142,563.04","774,290.35",5.43
R10,197.75,22.51,"41,652.04", NA ,"41,580.00", NA , NA , NA 
R11,181.94,20.66,"3,944.41","27,610.84","3,942.00","81,908.52","1,079,525.40",13.18
R12,155.33,16.54,"997,485.41","2,992,456.23","737,100.00","209,059.91","209,059.91",1
R13,185.26,21.02,"10,159,296.34","111,752,259.80","1,927,800.00","785,956.14","785,956.14",1
R14,75.29,8.68,"77,321.10", NA ,"77,490.00", NA , NA , NA 
R15,88.54,10.13,"186,377.53","372,755.05","181,440.00","430,725.03","430,725.03",1
R16,89.1,10.23,"2,314.38","2,314.38","2,316.60","6,315.71","57,960.36",9.18
R17,90.43,10.32,"78,694.67","78,694.67","76,680.00","96,634.31","96,634.31",1
R18,155.75,16.44,444.17,444.17,445.5,"1,332.64","784,244.07",588.49
R19,159.37,16.85,"217,240.15", NA ,"211,140.00", NA , NA , NA 
R20,180.33,20.44,"101,409.05","507,045.26","101,520.00","340,032.21","340,032.21",1
R21,148.52,15.96,"57,953.19", NA ,"58,050.00", NA , NA , NA 
R22,49.63,5.71,"231,720.55","231,720.55","197,370.00","488,837.60","2,095,365.77",4.29
R23,67.93,7.75,"385,145.43","385,145.43","315,900.00","791,080.38","3,624,365.91",4.58
R24,65.45,7.52,"35,133.93", NA ,"35,100.00", NA , NA , NA 
R25,69.84,8.01,113.76, NA ,113.94, NA , NA , NA 
R26,72.43,8.26,380.99,380.99,380.7,"1,137.61","398,958.11",350.7
R27,153.64,16.49,"65,450.46","1,505,360.55","65,610.00","4,435,951.70","4,951,519.57",1.12
R28,160.43,17.8,"37,581.39","263,069.74","37,530.00","265,481.81","265,481.81",1
R29,152.75,16.47,"64,820.96", NA ,"64,800.00", NA , NA , NA 
R30,197.6,22.97,"220,889.31","220,889.31","221,130.00","282,781.63","282,781.63",1
R31,181.94,20.66,"23,247.37","23,247.37","23,274.00","48,269.43","95,430.54",1.98
R32,181.67,20.36,"13,664.18","68,320.90","13,689.00","188,281.64","233,347.96",1.24
R33,140.17,13.89,"47,367.14","8,194,515.98","47,520.00","11,718,293.29","11,718,293.29",1
R34,59.33,6.78,"196,484.69","196,484.69","179,550.00","93,489.55","93,489.55",1
R35,87.83,10.05,"602,879.19","602,879.19","469,800.00","129,605.69","129,605.69",1
R36,155.74,16.82,"69,878.31","69,878.31","69,930.00","75,483.97","75,483.97",1
R37,190.68,21.96,"167,902.49","167,902.49","168,210.00","311,235.48","434,427.82",1.4
R38,146.82,15.84,"8,178.40","16,356.81","8,181.00","47,948.03","955,984.74",19.94
R39,162.36,17.61,"177,940.11","3,380,862.02","178,200.00","706,335.65","706,335.65",1
R40,164.78,17.84,"93,078.19","1,675,407.46","93,150.00","368,672.77","368,672.77",1
R41,198.47,23.03,"376,919.59","376,919.59","364,500.00","331,829.62","331,829.62",1
R42,166.41,17.97,"394,278.08","1,577,112.30","383,400.00","492,834.87","492,834.87",1
R43,194.24,22.71,"1,532,558.12", NA ,"1,177,200.00", NA , NA , NA 
R44,177.41,20.12,"103,533.17","207,066.34","103,680.00","97,065.39","97,065.39",1
R45,189.28,21.86,"123,280.11", NA ,"123,390.00", NA , NA , NA 
R46,193.36,22.48,"252,943.73","252,943.73","253,260.00","58,418.06","58,418.06",1
R47,152.63,16.32,"196,177.70", NA ,"196,560.00", NA , NA , NA 
R48,161.01,17.2,"126,710.71","3,041,057.09","126,900.00","1,861,723.34","1,861,723.34",1
R49,182.47,20.83,"16,457.86", NA ,"16,470.00", NA , NA , NA 
R50,192.49,22.32,"65,373.28","326,866.39","65,340.00","199,597.01","199,597.01",1
